Team,G,TS,AV
France,8,59,7.38
Germany,4,28,7.00
Spain,8,54,6.75
England,8,53,6.63
Canada,5,31,6.20
Brazil,5,30,6.00
Colombia,5,30,6.00
Senegal,4,23,5.75
Sweden,4,23,5.75
Belgium,6,34,5.67
Argentina,8,44,5.50
Netherlands,4,22,5.50
Turkey,3,16,5.33
Ecuador,4,20,5.00
New Zealand,3,15,5.00
Switzerland,6,30,5.00
Norway,6,29,4.83
Morocco,6,26,4.33
Uruguay,3,13,4.33
Croatia,4,17,4.25
Mexico,5,21,4.20
Egypt,5,19,3.80
USA,5,19,3.80
Algeria,4,15,3.75
Iran,3,11,3.67
South Korea,3,11,3.67
Bosnia and Herzegovina,4,14,3.50
Ivory Coast,4,14,3.50
Portugal,5,17,3.40
Japan,4,13,3.25
Australia,4,12,3.00
Cape Verde,4,12,3.00
Jordan,3,9,3.00
South Africa,4,11,2.75
Czech Republic,3,8,2.67
Curacao,3,7,2.33
Haiti,3,7,2.33
Panama,3,7,2.33
Qatar,3,7,2.33
Saudi Arabia,3,7,2.33
Scotland,3,7,2.33
D.R. Congo,4,9,2.25
Austria,4,8,2.00
Tunisia,3,6,2.00
Uzbekistan,3,5,1.67
Paraguay,5,8,1.60
Ghana,4,4,1.00
Iraq,3,2,0.67
