Referee,Games,Yellow Cards,Averaeg yellow cards,Red Cards,Average red cards,Average Yellow Cards,Average Red Cards
Michael Oliver,4,17,4.25,0,0.0,4.25,0.0
Ivan Barton,4,13,3.25,1,0.25,3.25,0.25
Slaven Vincic,4,12,3.0,2,0.5,3.0,0.5
Ismail Elfath,4,12,3.0,1,0.25,3.0,0.25
Felix Zwayer,2,12,6.0,0,0.0,6.0,0.0
Francois Letexier,3,11,3.67,0,0.0,3.67,0.0
Joao Pinheiro,3,10,3.33,2,0.67,3.33,0.67
Danny Makkelie,3,9,3.0,0,0.0,3.0,0.0
Maurizio Mariani,3,9,3.0,0,0.0,3.0,0.0
Anthony Taylor,3,9,3.0,1,0.33,3.0,0.33
Facundo Tello,3,8,2.67,0,0.0,2.67,0.0
Adham Makhadmeh,4,8,2.0,0,0.0,2.0,0.0
Clement Turpin,4,8,2.0,0,0.0,2.0,0.0
Said Martinez,3,7,2.33,0,0.0,2.33,0.0
Ramon Abatti,2,7,3.5,0,0.0,3.5,0.0
Szymon Marciniak,2,7,3.5,0,0.0,3.5,0.0
Abdulrahman Al-Jassim,2,7,3.5,0,0.0,3.5,0.0
Glenn Nyberg,3,7,2.33,0,0.0,2.33,0.0
Tori Penso,2,7,3.5,0,0.0,3.5,0.0
Espen Eskas,2,7,3.5,0,0.0,3.5,0.0
Jalal Jayed,3,6,2.0,0,0.0,2.0,0.0
Alireza Faghani,3,6,2.0,1,0.33,2.0,0.33
llgiz Tantashev,3,6,2.0,0,0.0,2.0,0.0
Ma Ning,1,6,6.0,0,0.0,6.0,0.0
Amin Omar,2,5,2.5,0,0.0,2.5,0.0
Mustapha Ghorbal,2,5,2.5,0,0.0,2.5,0.0
Drew Fischer,3,5,1.67,0,0.0,1.67,0.0
Wilson Sampaio,3,4,1.33,3,1.0,1.33,1.0
Jesus Valenzuela,4,4,1.0,0,0.0,1.0,0.0
Yael Perez,3,4,1.33,0,0.0,1.33,0.0
Cesar Arturo Ramos,2,4,2.0,0,0.0,2.0,0.0
Gustavo Tejera,2,4,2.0,0,0.0,2.0,0.0
Alejandro Hernandez,1,4,4.0,0,0.0,4.0,0.0
Pierre Atcho,2,3,1.5,0,0.0,1.5,0.0
Istvan Kovacs,2,3,1.5,0,0.0,1.5,0.0
Raphael Claus,2,3,1.5,1,0.5,1.5,0.5
Omar Al-Ali,1,3,3.0,0,0.0,3.0,0.0
Cristian Garay,1,2,2.0,2,2.0,2.0,2.0
Dario Herrera,1,2,2.0,1,1.0,2.0,1.0
Dahane Beida,1,1,1.0,0,0.0,1.0,0.0
Juan Benitez,1,0,0.0,0,0.0,0.0,0.0
Katia Garcia Mendoza,1,0,0.0,0,0.0,0.0,0.0
