match_id,team,opponent,fifa_rank,avg_goals_scored_prev5,avg_goals_conceded_prev5,days_rest,stage,home_away,opponent_fifa_rank,head_to_head_win_rate,goals_scored
1,France,Germany,3,2.4,1.2,5,0,0.5,12,0.6,2
1,Germany,France,12,1.8,1.5,5,0,0.5,3,0.4,1
2,Brazil,Argentina,5,2.1,0.9,4,0,0.5,8,0.5,3
2,Argentina,Brazil,8,1.6,1.1,4,0,0.5,5,0.5,1
3,England,Spain,4,2.8,0.8,6,0,0.5,2,0.3,2
3,Spain,England,2,2.2,0.7,6,0,0.5,4,0.7,1
4,Portugal,Netherlands,6,1.9,1.0,3,0,0.5,7,0.5,1
4,Netherlands,Portugal,7,1.5,1.3,3,0,0.5,6,0.5,0
5,Italy,Belgium,9,1.7,0.9,4,0,0.5,10,0.4,2
5,Belgium,Italy,10,2.0,1.1,4,0,0.5,9,0.6,1
6,Croatia,Morocco,15,1.3,0.7,5,0,0.5,13,0.6,1
6,Morocco,Croatia,13,1.1,0.8,5,0,0.5,15,0.4,0
7,USA,Mexico,16,1.4,1.2,3,0,0.5,14,0.5,1
7,Mexico,USA,14,1.2,1.0,3,0,0.5,16,0.5,1
8,Japan,South Korea,18,1.6,0.6,4,0,0.5,20,0.7,2
8,South Korea,Japan,20,1.0,1.4,4,0,0.5,18,0.3,0
9,Senegal,Egypt,22,1.5,0.9,5,0,0.5,24,0.5,1
9,Egypt,Senegal,24,1.1,1.0,5,0,0.5,22,0.5,0
10,Australia,New Zealand,30,1.0,1.5,6,0,0.5,35,0.6,1
10,New Zealand,Australia,35,0.8,1.8,6,0,0.5,30,0.4,0
11,Canada,Jamaica,25,1.2,1.1,4,0,0.5,45,0.7,2
11,Jamaica,Canada,45,0.7,2.0,4,0,0.5,25,0.3,0
12,Colombia,Ecuador,27,1.3,0.8,5,0,0.5,28,0.6,1
12,Ecuador,Colombia,28,1.0,1.0,5,0,0.5,27,0.4,0
13,Switzerland,Poland,32,1.1,1.3,3,0,0.5,33,0.5,1
13,Poland,Switzerland,33,1.0,1.2,3,0,0.5,32,0.5,0
14,Denmark,Serbia,19,1.4,1.0,4,0,0.5,21,0.6,2
14,Serbia,Denmark,21,1.2,1.1,4,0,0.5,19,0.4,1
15,Uruguay,Paraguay,26,1.5,0.9,5,0,0.5,37,0.7,1
15,Paraguay,Uruguay,37,0.9,1.4,5,0,0.5,26,0.3,0
16,Chile,Peru,36,0.8,1.6,4,0,0.5,40,0.5,0
16,Peru,Chile,40,1.1,1.2,4,0,0.5,36,0.5,1
17,Nigeria,Ghana,29,1.3,1.0,3,0,0.5,38,0.6,1
17,Ghana,Nigeria,38,1.0,1.3,3,0,0.5,29,0.4,0
18,Tunisia,Algeria,34,1.2,0.9,4,0,0.5,39,0.5,1
18,Algeria,Tunisia,39,0.9,1.2,4,0,0.5,34,0.5,0
19,Ivory Coast,Burkina Faso,41,1.1,1.0,5,0,0.5,50,0.7,2
19,Burkina Faso,Ivory Coast,50,0.8,1.6,5,0,0.5,41,0.3,0
20,Saudi Arabia,Iraq,43,0.9,1.4,4,0,0.5,42,0.5,1
20,Iraq,Saudi Arabia,42,1.0,1.1,4,0,0.5,43,0.5,0
21,South Africa,Cape Verde,44,1.0,1.1,3,0,0.5,46,0.6,1
21,Cape Verde,South Africa,46,0.7,1.8,3,0,0.5,44,0.4,0
22,Qatar,Kuwait,47,0.6,2.1,4,0,0.5,60,0.6,0
22,Kuwait,Qatar,60,0.4,2.4,4,0,0.5,47,0.4,0
23,Panama,Costa Rica,48,0.9,1.3,5,0,0.5,49,0.5,1
23,Costa Rica,Panama,49,0.8,1.5,5,0,0.5,48,0.5,0
24,Scotland,Norway,17,1.4,0.9,4,0,0.5,11,0.4,1
24,Norway,Scotland,11,2.0,0.8,4,0,0.5,17,0.6,3
25,Sweden,Finland,23,1.6,0.7,5,0,0.5,31,0.8,2
25,Finland,Sweden,31,0.7,1.9,5,0,0.5,23,0.2,0
26,Austria,Czech Republic,56,1.3,1.0,4,0,0.5,57,0.5,1
26,Czech Republic,Austria,57,1.0,1.2,4,0,0.5,56,0.5,1
27,Turkey,Hungary,34,1.4,1.1,5,0,0.5,52,0.5,2
27,Hungary,Turkey,52,0.9,1.3,5,0,0.5,34,0.5,0
28,Algeria,Morocco,39,1.0,1.2,5,0,0.5,13,0.3,0
28,Morocco,Algeria,13,1.1,0.8,5,0,0.5,39,0.7,1
29,Paraguay,Brazil,37,0.9,1.3,5,1,0.5,5,0.3,0
29,Brazil,Paraguay,5,2.1,0.9,5,1,0.5,37,0.7,3
30,Netherlands,USA,7,1.5,1.2,5,1,0.5,16,0.5,2
30,USA,Netherlands,16,1.4,1.1,5,1,0.5,7,0.5,0
31,Argentina,England,8,1.6,1.1,5,1,0.5,4,0.6,2
31,England,Argentina,4,2.8,0.8,5,1,0.5,8,0.4,1
32,France,Brazil,3,2.4,1.2,5,1,0.5,5,0.6,2
32,Brazil,France,5,2.1,0.9,5,1,0.5,3,0.4,1
33,Spain,Germany,2,2.2,0.7,5,1,0.5,12,0.7,3
33,Germany,Spain,12,1.8,1.5,5,1,0.5,2,0.3,1
34,Belgium,Portugal,10,2.0,1.1,5,1,0.5,6,0.5,1
34,Portugal,Belgium,6,1.9,1.0,5,1,0.5,10,0.5,2
35,Italy,Croatia,9,1.7,0.9,5,1,0.5,15,0.5,1
35,Croatia,Italy,15,1.3,0.7,5,1,0.5,9,0.5,0
36,Morocco,Switzerland,13,1.1,0.8,5,1,0.5,32,0.7,1
36,Switzerland,Morocco,32,1.1,1.3,5,1,0.5,13,0.3,0
37,Senegal,Nigeria,22,1.5,0.9,5,1,0.5,29,0.6,1
37,Nigeria,Senegal,29,1.3,1.0,5,1,0.5,22,0.4,0
38,Colombia,Japan,27,1.3,0.8,5,1,0.5,18,0.5,1
38,Japan,Colombia,18,1.6,0.6,5,1,0.5,27,0.5,2
39,Denmark,Uruguay,19,1.4,1.0,5,1,0.5,26,0.4,0
39,Uruguay,Denmark,26,1.5,0.9,5,1,0.5,19,0.6,1
40,Ecuador,Algeria,28,1.0,1.0,5,1,0.5,39,0.6,1
40,Algeria,Ecuador,39,0.9,1.2,5,1,0.5,28,0.4,0
41,Canada,Chile,25,1.2,1.1,5,1,0.5,36,0.6,1
41,Chile,Canada,36,0.8,1.6,5,1,0.5,25,0.4,0
42,South Korea,Tunisia,20,1.0,1.4,5,1,0.5,34,0.5,0
42,Tunisia,South Korea,34,1.2,0.9,5,1,0.5,20,0.5,1
43,Serbia,Australia,21,1.2,1.1,5,1,0.5,30,0.5,1
43,Australia,Serbia,30,1.0,1.5,5,1,0.5,21,0.5,0
44,Ivory Coast,Panama,41,1.1,1.0,5,1,0.5,48,0.7,2
44,Panama,Ivory Coast,48,0.9,1.3,5,1,0.5,41,0.3,0
45,Saudi Arabia,Scotland,43,0.9,1.4,5,1,0.5,17,0.3,0
45,Scotland,Saudi Arabia,17,1.4,0.9,5,1,0.5,43,0.7,2
46,Algeria,Ecuador,39,0.9,1.2,3,0,0.5,28,0.4,0
46,Ecuador,Algeria,28,1.0,1.0,3,0,0.5,39,0.6,1
47,Germany,Nigeria,12,1.8,1.5,5,1,0.5,29,0.5,2
47,Nigeria,Germany,29,1.3,1.0,5,1,0.5,12,0.5,1
48,Portugal,Italy,6,1.9,1.0,5,1,0.5,9,0.6,2
48,Italy,Portugal,9,1.7,0.9,5,1,0.5,6,0.4,1
49,Switzerland,Colombia,32,1.1,1.3,5,1,0.5,27,0.4,0
49,Colombia,Switzerland,27,1.3,0.8,5,1,0.5,32,0.6,2
50,Japan,Denmark,18,1.6,0.6,5,1,0.5,19,0.6,2
50,Denmark,Japan,19,1.4,1.0,5,1,0.5,18,0.4,1
51,Chile,South Korea,36,0.8,1.6,5,1,0.5,20,0.5,1
51,South Korea,Chile,20,1.0,1.4,5,1,0.5,36,0.5,0
52,Australia,Serbia,30,1.0,1.5,5,1,0.5,21,0.5,0
52,Serbia,Australia,21,1.2,1.1,5,1,0.5,30,0.5,1
